local_datetime,segment_id,crosswalk,direction,volume
06/18/2025,Washington Street and Calle Tampico,West Crosswalk,nb,0
06/18/2025,Washington Street and Calle Tampico,West Crosswalk,sb,1
06/19/2025,Washington Street and Calle Tampico,West Crosswalk,nb,2
06/19/2025,Washington Street and Calle Tampico,West Crosswalk,sb,1
06/20/2025,Washington Street and Calle Tampico,West Crosswalk,nb,4
06/20/2025,Washington Street and Calle Tampico,West Crosswalk,sb,0
06/21/2025,Washington Street and Calle Tampico,West Crosswalk,nb,2
06/21/2025,Washington Street and Calle Tampico,West Crosswalk,sb,0
06/22/2025,Washington Street and Calle Tampico,West Crosswalk,nb,0
06/22/2025,Washington Street and Calle Tampico,West Crosswalk,sb,3
06/23/2025,Washington Street and Calle Tampico,West Crosswalk,nb,6
06/23/2025,Washington Street and Calle Tampico,West Crosswalk,sb,5
06/24/2025,Washington Street and Calle Tampico,West Crosswalk,nb,9
06/24/2025,Washington Street and Calle Tampico,West Crosswalk,sb,5
06/25/2025,Washington Street and Calle Tampico,West Crosswalk,nb,10
06/25/2025,Washington Street and Calle Tampico,West Crosswalk,sb,7
06/26/2025,Washington Street and Calle Tampico,West Crosswalk,nb,6
06/26/2025,Washington Street and Calle Tampico,West Crosswalk,sb,9
06/27/2025,Washington Street and Calle Tampico,West Crosswalk,nb,2
06/27/2025,Washington Street and Calle Tampico,West Crosswalk,sb,3
06/28/2025,Washington Street and Calle Tampico,West Crosswalk,nb,9
06/28/2025,Washington Street and Calle Tampico,West Crosswalk,sb,13
06/29/2025,Washington Street and Calle Tampico,West Crosswalk,nb,4
06/29/2025,Washington Street and Calle Tampico,West Crosswalk,sb,6
