local_datetime,segment_id,direction,volume
6/21/2025,Washington and Sagebrush Avenue,sb,5
6/22/2025,Washington and Sagebrush Avenue,sb,2
6/23/2025,Washington and Sagebrush Avenue,sb,9
6/24/2025,Washington and Sagebrush Avenue,sb,8
6/25/2025,Washington and Sagebrush Avenue,sb,12
6/26/2025,Washington and Sagebrush Avenue,sb,16
6/27/2025,Washington and Sagebrush Avenue,sb,18
6/28/2025,Washington and Sagebrush Avenue,sb,15
6/29/2025,Washington and Sagebrush Avenue,sb,14
6/30/2025,Washington and Sagebrush Avenue,sb,23
6/1/2025,Washington and Sagebrush Avenue,nb,
6/2/2025,Washington and Sagebrush Avenue,nb,
6/3/2025,Washington and Sagebrush Avenue,nb,
6/4/2025,Washington and Sagebrush Avenue,nb,
6/5/2025,Washington and Sagebrush Avenue,nb,
6/6/2025,Washington and Sagebrush Avenue,nb,
6/7/2025,Washington and Sagebrush Avenue,nb,
6/8/2025,Washington and Sagebrush Avenue,nb,
6/9/2025,Washington and Sagebrush Avenue,nb,
6/10/2025,Washington and Sagebrush Avenue,nb,
6/11/2025,Washington and Sagebrush Avenue,nb,
6/12/2025,Washington and Sagebrush Avenue,nb,
6/13/2025,Washington and Sagebrush Avenue,nb,
6/14/2025,Washington and Sagebrush Avenue,nb,
6/15/2025,Washington and Sagebrush Avenue,nb,
6/16/2025,Washington and Sagebrush Avenue,nb,
6/17/2025,Washington and Sagebrush Avenue,nb,10
6/18/2025,Washington and Sagebrush Avenue,nb,8
6/19/2025,Washington and Sagebrush Avenue,nb,13
6/20/2025,Washington and Sagebrush Avenue,nb,18
6/21/2025,Washington and Sagebrush Avenue,nb,14
6/22/2025,Washington and Sagebrush Avenue,nb,16
6/23/2025,Washington and Sagebrush Avenue,nb,23
6/24/2025,Washington and Sagebrush Avenue,nb,41
6/25/2025,Washington and Sagebrush Avenue,nb,34
6/26/2025,Washington and Sagebrush Avenue,nb,42
6/27/2025,Washington and Sagebrush Avenue,nb,39
6/28/2025,Washington and Sagebrush Avenue,nb,44
6/29/2025,Washington and Sagebrush Avenue,nb,41
6/30/2025,Washington and Sagebrush Avenue,nb,36
6/1/2025,Washington and Eisenhower Drive,eb,
6/2/2025,Washington and Eisenhower Drive,eb,
6/3/2025,Washington and Eisenhower Drive,eb,
6/4/2025,Washington and Eisenhower Drive,eb,
6/5/2025,Washington and Eisenhower Drive,eb,
6/6/2025,Washington and Eisenhower Drive,eb,
6/7/2025,Washington and Eisenhower Drive,eb,
6/8/2025,Washington and Eisenhower Drive,eb,
6/9/2025,Washington and Eisenhower Drive,eb,
6/10/2025,Washington and Eisenhower Drive,eb,
6/11/2025,Washington and Eisenhower Drive,eb,
6/12/2025,Washington and Eisenhower Drive,eb,
6/13/2025,Washington and Eisenhower Drive,eb,
6/14/2025,Washington and Eisenhower Drive,eb,
6/15/2025,Washington and Eisenhower Drive,eb,
6/16/2025,Washington and Eisenhower Drive,eb,
6/17/2025,Washington and Eisenhower Drive,eb,4
6/18/2025,Washington and Eisenhower Drive,eb,2
6/19/2025,Washington and Eisenhower Drive,eb,2
6/20/2025,Washington and Eisenhower Drive,eb,3
6/21/2025,Washington and Eisenhower Drive,eb,11
6/22/2025,Washington and Eisenhower Drive,eb,6
6/23/2025,Washington and Eisenhower Drive,eb,7
6/24/2025,Washington and Eisenhower Drive,eb,16
6/25/2025,Washington and Eisenhower Drive,eb,13
6/26/2025,Washington and Eisenhower Drive,eb,25
6/27/2025,Washington and Eisenhower Drive,eb,7
6/28/2025,Washington and Eisenhower Drive,eb,30
6/29/2025,Washington and Eisenhower Drive,eb,7
6/30/2025,Washington and Eisenhower Drive,eb,13
6/1/2025,Washington and Eisenhower Drive,sb,
6/2/2025,Washington and Eisenhower Drive,sb,
6/3/2025,Washington and Eisenhower Drive,sb,
6/4/2025,Washington and Eisenhower Drive,sb,
6/5/2025,Washington and Eisenhower Drive,sb,
6/6/2025,Washington and Eisenhower Drive,sb,
6/7/2025,Washington and Eisenhower Drive,sb,
6/8/2025,Washington and Eisenhower Drive,sb,
6/9/2025,Washington and Eisenhower Drive,sb,
6/10/2025,Washington and Eisenhower Drive,sb,
6/11/2025,Washington and Eisenhower Drive,sb,
6/12/2025,Washington and Eisenhower Drive,sb,
6/13/2025,Washington and Eisenhower Drive,sb,
6/14/2025,Washington and Eisenhower Drive,sb,
6/15/2025,Washington and Eisenhower Drive,sb,
6/16/2025,Washington and Eisenhower Drive,sb,
6/17/2025,Washington and Eisenhower Drive,sb,3
6/18/2025,Washington and Eisenhower Drive,sb,9
6/19/2025,Washington and Eisenhower Drive,sb,8
6/20/2025,Washington and Eisenhower Drive,sb,6
6/21/2025,Washington and Eisenhower Drive,sb,17
6/22/2025,Washington and Eisenhower Drive,sb,16
6/23/2025,Washington and Eisenhower Drive,sb,21
6/24/2025,Washington and Eisenhower Drive,sb,31
6/25/2025,Washington and Eisenhower Drive,sb,28
6/26/2025,Washington and Eisenhower Drive,sb,33
6/27/2025,Washington and Eisenhower Drive,sb,28
6/28/2025,Washington and Eisenhower Drive,sb,53
